eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150339478,,,,OVERCOMING THE SPECTRAL BIAS OF NEURAL VALUE APPROXIMATION,cp,Conference Paper,Yang G.,,MIT Computer Science &amp; Artificial Intelligence Laboratory;NSF,Cambridge;,United States;,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339467,,,,RECURSIVE DISENTANGLEMENT NETWORK,cp,Conference Paper,Chen Y.,,Fudan University,Shanghai,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339446,,,,DISCOVERING INVARIANT RATIONALES FOR GRAPH NEURAL NETWORKS,cp,Conference Paper,Wu Y.X.,,University of Science and Technology of China,Hefei,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,12,0,,,,,
2-s2.0-85150339392,,,,ACTOR-CRITIC POLICY OPTIMIZATION IN A LARGE-SCALE IMPERFECT-INFORMATION GAME,cp,Conference Paper,Fu H.,,Tencent,Shenzhen,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150339307,,,,UPDATER-EXTRACTOR ARCHITECTURE FOR INDUCTIVE WORLD STATE REPRESENTATIONS,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339177,,,,HIDDEN PARAMETER RECURRENT STATE SPACE MODELS FOR CHANGING DYNAMICS SCENARIOS,cp,Conference Paper,Shaj V.,,University of Lincoln;KIT,Lincoln;Eggenstein-Leopoldhafen,United Kingdom;Germany,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339151,,,,VARIATIONAL NEURAL CELLULAR AUTOMATA,cp,Conference Paper,Palm R.B.,,IT-Universitetet i København,Copenhagen,Denmark,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339103,,,,TESSERACT: GRADIENT FLIP SCORE TO SECURE FEDERATED LEARNING AGAINST MODEL POISONING ATTACKS,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339094,,,,DEFENDING AGAINST IMAGE CORRUPTIONS THROUGH ADVERSARIAL AUGMENTATIONS,cp,Conference Paper,Calian D.A.,,DeepMind,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338801,,,,DEEP AUTOAUGMENT,cp,Conference Paper,Zheng Y.,,Michigan State University,East Lansing,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338778,,,,FREQUENCY-AWARE SGD FOR EFFICIENT EMBEDDING LEARNING WITH PROVABLE BENEFITS,cp,Conference Paper,Li Y.,,Georgia Tech,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
